File Name,Recognized Plate,Confidence,Correct,Processing Time (s)
pic_63.jpg,['闽DP377Y'],[0.99643576],True,0.03499245643615723
pic_64.jpg,['闽F4919L'],[0.9457745],True,0.054680824279785156
pic_65.jpg,"['闽F308FA', '闽F308FA']","[0.91355675, 0.9825264]",True,0.07882976531982422
pic_66.jpg,['闽F1159J'],[0.99957436],True,0.0366058349609375
pic_67.jpg,['闽F8759学'],[0.9458701],True,0.03630185127258301
pic_68.jpg,['闽F36851'],[0.999888],True,0.04384136199951172
pic_69.jpg,['皖F87591'],[0.85993284],False,0.044615745544433594
pic_7.jpg,['闽DX5318'],[0.99923116],True,0.032989501953125
pic_70.jpg,['闽F81U35'],[0.9994535],True,0.04872012138366699
pic_71.jpg,"['鲁RX9520', '粤F81N535']","[0.9999595, 0.85701144]",False,0.07436060905456543
pic_72.jpg,['粤A6D639'],[0.9983486],True,0.028000354766845703
pic_73.jpg,"['闽F6187R', '闽F6187R']","[0.9993091, 0.99945927]",True,0.10792183876037598
pic_74.jpg,['闽DDG978'],[0.9996662],True,0.03751683235168457
pic_75.jpg,['粤AT6X93'],[0.99956733],True,0.04444146156311035
pic_76.jpg,['闽CA6151'],[0.999927],True,0.031928300857543945
pic_77.jpg,"['闽FKG780', '闽FKG780']","[0.9986445, 0.996144]",True,0.06789231300354004
pic_78.jpg,"['闽FQH272', '闽FQH272']","[0.9860373, 0.999936]",True,0.05986809730529785
pic_79.jpg,['闽CF76058'],[0.99904263],True,0.04734468460083008
pic_8.jpg,['闽FVC053'],[0.99948215],True,0.05105400085449219
pic_80.jpg,['闽F82E81'],[0.9675873],True,0.03299903869628906
pic_81.jpg,['闽D088110'],[0.9327071],False,0.030002832412719727
pic_82.jpg,['闽F1H511'],[0.99981964],True,0.029798269271850586
pic_83.jpg,['闽FGC052'],[0.9998464],True,0.03513669967651367
pic_84.jpg,['闽F661EV'],[0.9473273],True,0.03391265869140625
pic_85.jpg,"['闽F7033C', '闽F7033C']","[0.9986972, 0.9979721]",True,0.06822800636291504
pic_86.jpg,"['闽FXS379', '闽FXS379']","[0.9287632, 0.9994516]",True,0.08490943908691406
pic_87.jpg,['闽F155A8'],[0.99964267],True,0.03193259239196777
pic_88.jpg,['闽D003YH'],[0.9992549],True,0.03300142288208008
pic_89.jpg,['闽AYG772'],[0.99983925],True,0.053967952728271484
pic_9.jpg,['渝A525AT'],[0.9962397],True,0.04918026924133301
pic_90.jpg,"['闽F23C81', '闽F23C81']","[0.99981725, 0.9994296]",True,0.06141805648803711
pic_91.jpg,"['闽F6527J', '闽F6527J']","[0.97628325, 0.9880467]",True,0.06299805641174316
pic_92.jpg,['闽F67991'],[0.9432987],True,0.034928083419799805
pic_93.jpg,"['闽F9Z295', '闽F9Z295']","[0.9963864, 0.99960166]",True,0.07761931419372559
pic_94.jpg,['粤A1SN20'],[0.9894752],True,0.029989004135131836
pic_95.jpg,['闽DQ829W'],[0.99990374],True,0.049991607666015625
pic_96.jpg,"['闽F8P370', '闽F8P370']","[0.999689, 0.999953]",True,0.040963172912597656
pic_97.jpg,['闽F9A985'],[0.9703793],True,0.034924983978271484
pic_98.jpg,"['闽F105F1', '闽F105F1']","[0.9897355, 0.9956965]",True,0.06762266159057617
pic_99.jpg,"['闽F8762H', '闽F8762H']","[0.998496, 0.99994415]",True,0.05907583236694336
